##Alpha(207mT) X DEG X DEG
220.8 -0.00079346 94.922 0.51306 -5.0235
225.5 -0.00071717 94.407 0.51319 -4.8672
230.33 -0.00060654 93.704 0.51325 -4.7969
235.29 -0.00035095 92.211 0.51331 -4.7266
240.1 -0.00026322 91.61 0.51325 -4.8282
244.97 -0.00011826 90.743 0.51306 -4.9141
249.86 0.00011444 89.29 0.51306 -4.9688
254.93 0.00029373 88.11 0.51294 -5.0235
259.85 0.0004654 87.055 0.51282 -5.2032
265.19 0.00064469 85.946 0.51276 -5.2657
270.38 0.00092316 84.165 0.51264 -5.4375
275.55 0.00103 83.454 0.51258 -5.4375
280.55 0.0010796 83.219 0.51264 -5.3672
285.57 0.0011826 82.532 0.51258 -5.5391
290.77 0.0011597 82.579 0.51233 -5.6485
295.75 0.0010643 83.18 0.51239 -5.6641
299.81 0.0011673 82.61 0.51233 -5.7032
304.92 0.0010796 83.102 0.51227 -5.7032
310 0.0010491 83.274 0.51215 -5.8672
315.24 0.00091172 84.196 0.51227 -5.8438
320.32 0.00079727 84.899 0.51227 -5.8907
325.41 0.00066758 85.704 0.51215 -5.9219
330.43 0.00042725 87.219 0.51215 -5.9766
335.31 0.0002861 88.188 0.51221 -5.9219
340.56 0.00010681 89.29 0.51252 -5.7266
345.36 -0.00011444 90.665 0.51264 -5.5782
350.51 -0.00029373 91.805 0.51276 -5.4688
355.65 -0.00050736 93.204 0.51276 -5.3203
360.33 -0.00063706 93.938 0.513 -5.25
