I1(135deg) X DEG X DEG
6 0.0028105 -43.446 0.96375 -0.14844
6.1 0.0021973 -50.313 0.96381 -0.14844
6.2 0.0024977 -43.586 0.96393 -0.14844
6.3 0.0030766 -38.844 0.96387 -0.14063
6.4 0.0029011 -40.813 0.96387 -0.14844
6.5 0.0023442 -44.328 0.96381 -0.14063
6.6 0.0026779 -41.977 0.96369 -0.14063
6.7 0.0029125 -41.719 0.96369 -0.14063
6.8 0.0029345 -39.344 0.96363 -0.14063
6.9 0.003253 -35.328 0.96363 -0.13281
7 0.0030117 -39.032 0.96375 -0.14063
7.1 0.0032845 -35.242 0.96363 -0.13281
7.2 0.0025273 -42.602 0.96363 -0.13281
7.3 0.0029211 -40.219 0.96369 -0.14063
7.4 0.003212 -37.727 0.96357 -0.13281
7.5 0.0029059 -41.266 0.96344 -0.13281
7.6 0.0030527 -40.602 0.96369 -0.13281
7.7 0.0038357 -32.625 0.96363 -0.13281
7.8 0.0036965 -33.414 0.96375 -0.13281
7.9 0.0035391 -34.602 0.96357 -0.14063
8 0.0031977 -35.485 0.96357 -0.14063
8.1 0.0036345 -35.563 0.96351 -0.13281
8.2 0.0032797 -38.024 0.96351 -0.13281
8.3 0.0034409 -34.133 0.96344 -0.13281
8.4 0.0039664 -33.875 0.96369 -0.13281
8.5 0.0033913 -36.93 0.96357 -0.13281
8.6 0.0031338 -36.617 0.96357 -0.13281
8.7 0.0036802 -32.149 0.96351 -0.125
8.8 0.0034609 -35.203 0.96344 -0.13281
8.9 0.0032673 -37.524 0.96357 -0.14063
9 0.0032826 -35.641 0.96338 -0.13281
9.1 0.0031138 -41.219 0.96338 -0.14063
9.2 0.0034905 -37.336 0.96344 -0.14063
9.3 0.0034256 -36.297 0.96338 -0.13281
9.4 0.0035191 -36.703 0.96326 -0.14063
9.5 0.003974 -33.617 0.96351 -0.13281
9.6 0.0033703 -36.508 0.96332 -0.13281
9.7 0.0038243 -36.282 0.96344 -0.14063
9.8 0.0036097 -36.414 0.96338 -0.14063
9.9 0.0036125 -34.68 0.96326 -0.13281
