##Alpha(50mT) X DEG X DEG
70.47 -0.00039292 148.85 0.13648 -0.91407
75.53 -0.00038719 149.98 0.13648 -0.89844
80.51 -0.00037194 148.99 0.13642 -0.96094
85.78 -0.0003357 145.71 0.13635 -0.96094
89.74 -0.0003109 143.82 0.13642 -0.91407
95.07 -0.00024605 137.64 0.13648 -0.9375
100.31 -0.00020599 131.47 0.13642 -0.85938
105.56 -0.00016022 124.63 0.13642 -0.85938
109.76 -0.00013161 120.14 0.13642 -0.89844
115.28 -0.00012589 118.37 0.13642 -0.96875
120.24 -8.3924E-5 109.91 0.13642 -0.9375
125.66 -6.485E-5 105.5 0.13635 -0.84375
130.64 -3.0518E-5 97.172 0.13635 -1.0234
134.96 -6.1036E-5 104.52 0.13642 -1.0156
139.98 -9.5368E-6 92.11 0.13635 -0.96094
145.04 -3.624E-5 98.18 0.13635 -0.9375
150.13 -3.4332E-5 97.836 0.13635 -0.91407
155.11 -7.6295E-6 91.243 0.13635 -0.88282
160.13 -2.6703E-5 96.243 0.13635 -0.91407
165.31 -2.6703E-5 96.29 0.13629 -0.92969
170.46 -5.5313E-5 103.14 0.13635 -0.91407
175.41 -8.5831E-5 110.27 0.13635 -1.0156
180.5 -0.0001297 119.52 0.13629 -1
185.59 -0.00017548 127.46 0.13629 -0.88282
189.73 -0.00020599 131.7 0.13629 -0.88282
195.59 -0.00023842 136.02 0.13629 -1
200.58 -0.00026131 138.73 0.13635 -0.98438
204.76 -0.00029564 142.01 0.13629 -1.0547
210.64 -0.00032616 144.13 0.13635 -1.0938
215.29 -0.00032425 144.57 0.13623 -0.91407
220 -0.0003376 145.66 0.13629 -0.96094
225.07 -0.00037194 147.88 0.13629 -0.98438
230.76 -0.00039101 149.28 0.13617 -0.84375
235.66 -0.00037956 149.17 0.13629 -0.82032
240.44 -0.00038529 148.84 0.13629 -0.94532
245.47 -0.00039101 149.38 0.13617 -1
250.29 -0.00038338 149.4 0.13623 -0.96094
255.27 -0.00034714 146.31 0.13629 -0.91407
260.31 -0.00030518 142.42 0.13629 -0.875
265.31 -0.00026894 139.19 0.13629 -0.96875
270.42 -0.00024223 136.01 0.13623 -0.92969
275.43 -0.00018501 127.89 0.13623 -0.96875
280.53 -0.00017166 125.83 0.13629 -0.91407
285.7 -0.00010681 114.72 0.13635 -1.0156
289.81 -0.00011063 115.71 0.13635 -1
295.59 -0.00010491 114.53 0.13635 -1.0859
299.91 -6.2943E-5 105.71 0.13635 -1.1094
304.84 -4.0055E-5 99.251 0.13629 -0.875
309.79 -1.3352E-5 93.29 0.13635 -0.875
315.08 -3.8147E-6 91.258 0.13629 -0.85938
320.33 1.1444E-5 87.485 0.13629 -0.96094
325.3 1.9074E-6 88.743 0.13635 -0.9375
330.31 5.1499E-5 77.508 0.13629 -0.92969
335.64 9.5368E-6 87.938 0.13635 -1.0234
340.66 -1.1444E-5 92.555 0.13635 -1.0156
345.61 3.8147E-6 88.727 0.13629 -0.96875
350.69 -2.4796E-5 95.751 0.13629 -0.94532
354.75 -5.5313E-5 104.02 0.13623 -1.0234
360.21 -7.4387E-5 107.42 0.13617 -0.92969
0.2 -8.2017E-5 109.81 0.13617 -0.96094
5.01 -0.00013542 120.77 0.13623 -0.94532
9.78 -0.0001545 124.46 0.13623 -1.0625
14.66 -0.00019836 131.18 0.13617 -0.96875
20.55 -0.00022888 134.58 0.13623 -1.0547
25.1 -0.00028992 141.62 0.13617 -0.90625
29.95 -0.00026894 139.59 0.13623 -0.96875
34.87 -0.00031662 143.85 0.13629 -0.94532
40.29 -0.0003643 148.04 0.13635 -1.0547
45.28 -0.00037384 148.13 0.13642 -0.98438
49.72 -0.00041008 150.98 0.13635 -0.92969
55.38 -0.00040054 150.56 0.13635 -0.9375
60.13 -0.00040627 150.67 0.13635 -0.96875
64.95 -0.00038338 149.58 0.13629 -0.94532
70.47 -0.00038147 149.17 0.13629 -0.91407
75.53 -0.00038147 148.63 0.13629 -0.90625
80.51 -0.00035858 147.8 0.13629 -0.94532
85.78 -0.00029373 142.34 0.13635 -1.0234
89.74 -0.00026894 139.42 0.13642 -0.92969
95.07 -0.00022888 134.99 0.13642 -1.0156
100.31 -0.00018501 129.06 0.13642 -1.1094
105.56 -0.00014687 122.98 0.13642 -0.96875
109.76 -0.00016022 125.13 0.13635 -0.85938
115.28 -0.00010681 115.53 0.13629 -0.875
120.24 -7.4387E-5 107.68 0.13642 -0.96875
125.66 -6.6758E-5 105.94 0.13635 -1
130.64 -5.3406E-5 103.23 0.13635 -1.0156
134.96 -2.0981E-5 94.555 0.13642 -1.0391
139.98 -2.4796E-5 95.415 0.13642 -1.0156
145.04 -7.6295E-6 92.102 0.13635 -0.96875
150.13 -1.3352E-5 92.938 0.13635 -0.96875
155.11 -2.4796E-5 95.493 0.13635 -1
160.13 -1.9074E-5 94.649 0.13635 -0.92969
165.31 -2.861E-5 97.172 0.13635 -1.0391
170.46 -5.1499E-5 102.61 0.13642 -1.0156
175.41 -9.9183E-5 113.24 0.13635 -0.96875
180.5 -0.00013161 120.01 0.13635 -0.98438
185.59 -0.00016022 124.73 0.13635 -1
189.73 -0.00021553 133.7 0.13629 -0.96094
195.59 -0.00025177 137.36 0.13629 -0.92969
200.58 -0.00028992 140.81 0.13623 -0.90625
204.76 -0.00032616 145.3 0.13623 -0.98438
210.64 -0.00031281 143.62 0.13629 -0.94532
215.29 -0.00035668 147.17 0.13623 -0.85938
220 -0.00036812 147.59 0.13629 -0.96094
225.07 -0.00035286 146.88 0.13629 -1.0938
230.76 -0.00040817 150.05 0.13629 -1.0234
235.66 -0.00040245 151.02 0.13635 -0.98438
240.44 -0.00040817 151.03 0.13629 -1.0156
245.47 -0.0004158 150.9 0.13635 -0.9375
250.29 -0.00037194 147.63 0.13629 -1
255.27 -0.00033188 145.12 0.13635 -0.91407
260.31 -0.0003376 145.71 0.13629 -0.96875
265.31 -0.0003357 145.91 0.13635 -0.89844
270.42 -0.00027085 139.56 0.13635 -1.0156
275.43 -0.00022125 134.56 0.13629 -0.94532
280.53 -0.00017738 127.66 0.13635 -0.9375
285.7 -0.00015068 123.29 0.13635 -0.9375
289.81 -0.00013733 121.39 0.13635 -0.9375
295.59 -7.6294E-5 107.56 0.13635 -0.96875
299.91 -4.9591E-5 102.2 0.13635 -1
304.84 -1.7166E-5 94.618 0.13629 -0.96094
309.79 -3.4332E-5 98.36 0.13629 -0.96875
315.08 -3.8147E-6 90.422 0.13629 -0.91407
320.33 -5.7221E-6 91.243 0.13629 -0.84375
325.3 1.1444E-5 87.063 0.13623 -0.88282
330.31 0 89.141 0.13629 -0.85938
335.64 3.624E-5 81.001 0.13629 -0.94532
340.66 3.624E-5 81.344 0.13635 -0.88282
345.61 1.1444E-5 87.024 0.13629 -0.92969
350.69 -2.4796E-5 95.868 0.13629 -0.85938
354.75 -4.0055E-5 99.18 0.13629 -1.0391
360.21 -8.2017E-5 110.05 0.13617 -0.96094
0.2 -0.00011444 116.73 0.13617 -0.92969
5.01 -0.00014114 121.7 0.13617 -1
9.78 -0.00018501 129.21 0.13617 -1.0703
14.66 -0.00021935 134.56 0.13611 -0.91407
20.55 -0.00026131 139.54 0.13623 -0.92969
25.1 -0.00024033 136.64 0.13629 -0.82813
29.95 -0.0003109 143.82 0.13629 -0.96094
34.87 -0.0003109 143.62 0.13623 -1
40.29 -0.00037575 148.84 0.13629 -0.96094
45.28 -0.00038338 148.74 0.13635 -1.0234
49.72 -0.00037956 149.55 0.13629 -1.0234
55.38 -0.0004158 151.6 0.13629 -0.92969
60.13 -0.0004139 151.25 0.13629 -0.92969
64.95 -0.00041008 151.51 0.13635 -1
70.47 -0.00035858 148.25 0.13629 -0.88282
75.53 -0.00037003 148.76 0.13629 -0.88282
80.51 -0.00035095 147.45 0.13635 -0.96875
85.78 -0.00030136 143.48 0.13635 -1
89.74 -0.00029564 141.65 0.13629 -0.91407
95.07 -0.00024033 136.01 0.13635 -1.1406
100.31 -0.00020027 130.8 0.13635 -0.9375
