##Alpha(50mT) X DEG X DEG
165.31 0.00034142 29.836 0.13226 -0.79688
170.46 0.0002861 33.766 0.13226 -0.89844
175.41 0.00023651 39.242 0.1322 -0.79688
180.5 0.00021935 41.789 0.13226 -0.92969
185.59 0.00016976 49.633 0.1322 -1
189.73 0.00014877 52.43 0.1322 -0.96094
195.59 0.00014496 52.571 0.1322 -0.89844
200.58 0.0001297 56.985 0.13226 -1.0313
204.76 0.00013542 54.969 0.1322 -0.85938
210.64 0.00013161 55.297 0.1322 -0.92969
215.29 0.00012779 56.867 0.13214 -0.75
220 0.00016785 49.719 0.13214 -0.84375
225.07 0.00015831 50.86 0.13214 -0.88282
230.76 0.00022316 41.578 0.13214 -0.78125
235.66 0.00022698 40.938 0.13214 -0.75
240.44 0.00024796 36.922 0.13208 -0.75
245.47 0.00030327 32.735 0.13214 -0.75
250.29 0.00037194 28.266 0.1322 -0.75
255.27 0.00041199 25.531 0.13214 -0.65625
260.31 0.00044632 23.578 0.13214 -0.75
265.31 0.00048828 21.188 0.13214 -0.86719
270.42 0.00055123 19.313 0.1322 -0.64844
275.43 0.00055504 18.844 0.13214 -0.8125
280.53 0.00058937 17.844 0.13214 -0.79688
285.7 0.00061799 16.75 0.13214 -0.89844
289.81 0.00062943 16.914 0.13214 -0.85938
295.59 0.00062371 16.578 0.13208 -0.79688
299.91 0.0006466 16.594 0.13208 -0.82813
304.84 0.00058365 17.891 0.13208 -0.84375
309.79 0.00060845 16.727 0.13214 -0.85938
315.08 0.00056649 18.328 0.13202 -0.91407
320.33 0.0005436 19.313 0.13208 -0.74219
325.3 0.00048638 21.219 0.13208 -0.75
330.31 0.00045967 21.899 0.13202 -0.88282
335.64 0.00042534 23.625 0.13208 -0.82813
340.66 0.00038338 26.555 0.13202 -0.77344
345.61 0.00034905 28.695 0.13208 -0.79688
350.69 0.00031853 30.344 0.13208 -0.74219
354.75 0.00026322 36.453 0.13208 -0.80469
360.21 0.00024987 37.953 0.13208 -0.75
0.2 0.00020027 44.266 0.13208 -0.71094
5.01 0.0001564 51.157 0.13214 -1
9.78 0.00010491 61.11 0.13214 -0.8125
14.66 0.00012016 58.032 0.1322 -0.85938
20.55 0.00012589 55.594 0.13214 -0.88282
25.1 8.9646E-5 65.032 0.1322 -0.82813
29.95 0.00011444 58.5 0.1322 -0.91407
34.87 0.00013733 53.289 0.1322 -0.98438
40.29 0.00010109 60.852 0.13214 -0.88282
45.28 0.00017357 47.625 0.13214 -0.82813
49.72 0.00019074 44.992 0.13208 -0.91407
55.38 0.00024987 36.68 0.13208 -0.88282
60.13 0.0002861 33.914 0.13208 -0.82813
64.95 0.00028229 33.61 0.13214 -0.78125
70.47 0.00034905 27.852 0.13208 -0.72657
75.53 0.00037003 26.555 0.13214 -0.91407
80.51 0.00045204 22.914 0.13214 -0.85938
85.78 0.00048828 21.492 0.13214 -0.78125
89.74 0.00050164 20.508 0.13208 -0.75
95.07 0.00055886 19.235 0.13208 -0.74219
100.31 0.00056267 18.836 0.13208 -0.84375
105.56 0.0005455 19.524 0.13208 -0.72657
109.76 0.00058556 17.649 0.13208 -0.96094
115.28 0.00058175 18.922 0.13208 -0.625
120.24 0.00059891 17.61 0.13208 -0.80469
125.66 0.00058556 18.383 0.13208 -0.82813
130.64 0.00053788 19.906 0.13208 -0.74219
134.96 0.00053788 19.75 0.13214 -0.84375
139.98 0.00051308 20.406 0.13208 -0.84375
145.04 0.00048828 21.43 0.13208 -0.78125
150.13 0.00044823 23.86 0.13202 -0.67969
155.11 0.00039864 26.078 0.13208 -0.77344
160.13 0.0003891 26.266 0.13202 -0.58594
