##Alpha(207mT) X DEG X DEG
244.97 0.00040054 87.883 0.51716 -4.7969
249.86 0.00027847 88.524 0.51703 -4.8985
254.93 -3.8147E-5 90.172 0.51697 -4.9453
259.85 -0.00030518 91.586 0.51691 -5.0078
265.19 -0.00053025 92.836 0.51661 -5.1641
270.38 -0.00075531 93.993 0.51648 -5.2735
275.55 -0.0010338 95.461 0.51618 -5.4375
280.55 -0.0012207 96.422 0.51618 -5.4063
285.57 -0.0013466 97.071 0.516 -5.4922
290.77 -0.0014954 97.844 0.51587 -5.5625
295.75 -0.0015717 98.266 0.51569 -5.625
299.81 -0.0016785 98.805 0.51569 -5.625
304.92 -0.0017052 98.93 0.51557 -5.6719
310 -0.0017281 99.055 0.51551 -5.7735
315.24 -0.0016975 98.922 0.51551 -5.7422
320.32 -0.0015755 98.305 0.51532 -5.9063
325.41 -0.0014191 97.501 0.51526 -5.8985
330.43 -0.0013733 97.266 0.51539 -5.9141
335.31 -0.0012055 96.438 0.51532 -5.9297
340.56 -0.0010147 95.415 0.51557 -5.6953
345.36 -0.00083924 94.438 0.51587 -5.5782
350.51 -0.00063706 93.399 0.51612 -5.4297
355.65 -0.00026703 91.399 0.5163 -5.2578
360.33 -0.00016785 90.868 0.51648 -5.1407
0.33 -9.5368E-5 90.477 0.51642 -5.2032
4.95 0.00017166 89.047 0.51667 -5.1328
10.74 0.00044632 87.633 0.51673 -4.9766
15.51 0.00061035 86.68 0.51673 -5.0235
20.33 0.00078202 85.79 0.51697 -4.9063
25.03 0.00083542 85.508 0.51703 -4.9375
29.88 0.00094986 84.891 0.51697 -4.9688
35.78 0.0010529 84.329 0.51716 -4.9063
40.62 0.00094223 84.915 0.51709 -4.8125
45.24 0.00086213 85.376 0.51716 -4.8438
50.19 0.00082779 85.54 0.51728 -4.7657
55.1 0.0005455 87.047 0.51734 -4.6953
59.87 0.00044632 87.626 0.51728 -4.7813
65.74 0.00027085 88.54 0.51709 -4.875
70.61 -3.0518E-5 90.157 0.51709 -4.836
75.67 -0.00034714 91.821 0.51709 -4.875
80.63 -0.00053025 92.86 0.51691 -5.0157
84.84 -0.00076294 94.071 0.51691 -5.0782
90.17 -0.0010567 95.618 0.51661 -5.3672
95.43 -0.0012703 96.758 0.51636 -5.4375
100.55 -0.0014343 97.657 0.5163 -5.3828
105.52 -0.0015869 98.376 0.51624 -5.5938
