##Alpha(50mT) X DEG X DEG
295.59 0.00077057 86.133 0.45191 -1.25
299.91 0.0008049 85.93 0.45203 -1.1484
304.84 0.00074006 86.258 0.45203 -1.1484
309.79 0.00067139 86.633 0.45178 -1.2031
315.08 0.00078965 86.024 0.45178 -1.1563
320.33 0.00057602 87.079 0.45184 -1.3516
325.3 0.00063324 86.805 0.45184 -1.2656
330.31 0.00075531 86.211 0.45203 -1.2656
335.64 0.00072861 86.313 0.45184 -1.2422
340.66 0.00063706 86.829 0.45184 -1.3125
345.61 0.00074006 86.29 0.45215 -1.1797
350.69 0.0007248 86.36 0.45191 -1.2109
354.75 0.0007782 86.079 0.45203 -1.1953
360.21 0.00078583 86.172 0.45197 -1.0938
0.2 0.00080872 86.032 0.45197 -1.1172
5.01 0.00085831 85.813 0.45215 -1.2656
9.78 0.0008545 85.79 0.45209 -1.2344
14.66 0.00093079 85.407 0.45221 -1.2656
20.55 0.00094986 85.329 0.45203 -1.1641
25.1 0.00097657 85.149 0.45209 -1.1641
29.95 0.00096512 85.165 0.45197 -1.2578
34.87 0.00094986 85.313 0.45184 -1.1563
40.29 0.0010376 84.876 0.45184 -1.2188
45.28 0.0011139 84.461 0.45221 -1.1953
49.72 0.0011101 84.461 0.45215 -1.2422
55.38 0.0010376 84.891 0.45203 -1.1719
60.13 0.0010948 84.579 0.45221 -1.2969
64.95 0.00097657 85.133 0.45191 -1.2969
70.47 0.0010262 84.922 0.45215 -1.1328
75.53 0.0010948 84.555 0.45203 -1.1641
80.51 0.0011139 84.454 0.45209 -1.3047
85.78 0.0010758 84.633 0.45197 -1.1406
89.74 0.00098039 85.149 0.45203 -1.1641
95.07 0.00095749 85.243 0.45221 -1.1406
100.31 0.00098801 85.094 0.45215 -1.1719
105.56 0.00089264 85.586 0.45203 -1.1406
109.76 0.00087357 85.649 0.45203 -1.2734
115.28 0.00092698 85.407 0.45221 -1.1328
120.24 0.00087357 85.618 0.45221 -1.1406
125.66 0.00078965 86.079 0.45203 -1.1641
130.64 0.00088501 85.602 0.45221 -1.2344
134.96 0.00073243 86.36 0.45203 -1.2422
139.98 0.00074768 86.305 0.45221 -1.1953
145.04 0.00096512 85.227 0.45221 -1.1563
150.13 0.00087357 85.571 0.45215 -1.1406
155.11 0.0008545 85.719 0.45209 -1.1797
160.13 0.00078965 86.071 0.45221 -1.1875
165.31 0.00090409 85.469 0.45227 -1.1641
170.46 0.00083542 85.829 0.45239 -1.3281
175.41 0.0008545 85.758 0.45203 -1.2266
180.5 0.00091553 85.422 0.45203 -1.2266
185.59 0.00097275 85.149 0.45227 -1.25
189.73 0.0008812 85.618 0.45203 -1.1406
195.59 0.0010033 85.047 0.45221 -1.2422
200.58 0.0010262 84.86 0.45221 -1.1484
204.76 0.00097275 85.133 0.45203 -1.2344
210.64 0.0010452 84.813 0.45209 -1.25
215.29 0.001091 84.602 0.45197 -1.1953
220 0.0010376 84.829 0.45197 -1.25
225.07 0.0011025 84.493 0.45197 -1.1953
230.76 0.0010719 84.711 0.45203 -1.1484
235.66 0.0011063 84.54 0.45197 -1.1953
240.44 0.0010681 84.696 0.45197 -1.2188
245.47 0.0010452 84.813 0.45203 -1.1797
250.29 0.00095749 85.274 0.45184 -1.2578
255.27 0.00094986 85.243 0.45191 -1.1953
260.31 0.00092316 85.446 0.45178 -1.2734
265.31 0.00090027 85.532 0.45184 -1.2031
270.42 0.0009079 85.454 0.45178 -1.2422
275.43 0.00085068 85.751 0.45215 -1.2188
280.53 0.00072861 86.407 0.45184 -1.2656
285.7 0.00082016 85.922 0.45209 -1.1953
289.81 0.00067902 86.586 0.45178 -1.2578
295.59 0.00065995 86.68 0.45197 -1.2031
299.91 0.00071717 86.438 0.45184 -1.1094
304.84 0.00070572 86.493 0.45197 -1.2422
309.79 0.00073243 86.305 0.45203 -1.2188
315.08 0.00076294 86.235 0.45203 -1.2656
320.33 0.0007782 86.149 0.45203 -1.2031
325.3 0.00076294 86.18 0.45197 -1.2266
330.31 0.00066376 86.696 0.45197 -1.2031
335.64 0.00072098 86.438 0.45184 -1.2266
340.66 0.00071335 86.422 0.45215 -1.1953
345.61 0.0008049 85.977 0.45197 -1.1797
